doc_no,sentence_no,word,tag
2803,0,Her,DET
2803,0,baş,NOUN
2803,0,ağrısı,NOUN
2803,0,sinüzit,NOUN
2803,0,her,DET
2803,0,burun,VERB
2803,0,akıntısı,NOUN
2803,0,grip,NOUN
2803,0,değildir,NOUN
2803,0,.,.
2803,1,Recep,NOUN
2803,1,Tayyip,NOUN
2803,1,Erdoğan,NOUN
2803,1,Üniversitesi,NOUN
2803,1,Tıp,NOUN
2803,1,Fakültesi,NOUN
2803,1,Kulak,NOUN
2803,1,Burun,NOUN
2803,1,Boğaz,NOUN
2803,1,Hastalıkları,NOUN
2803,1,Anabilim,NOUN
2803,1,Dalı,NOUN
2803,1,Başkanı,NOUN
2803,1,Prof,NOUN
2803,1,.,.
2803,1,Dr.,NOUN
2803,1,.,.
2803,1,Engin,NOUN
2803,1,Dursun,NOUN
2803,1,Karadeniz,NOUN
2803,1,Bölgesi'nde,NOUN
2803,1,alerjik,ADJ
2803,1,burun,VERB
2803,1,rahatsızlıklarının,NOUN
2803,1,çok,ADJ
2803,1,yaygın,ADJ
2803,1,olduğunu,ADJ
2803,1,belirterek,ADV
2803,1,Hastalar,NOUN
2803,1,benim,PRON
2803,1,uzun,ADJ
2803,1,zamandır,NOUN
2803,1,burun,NOUN
2803,1,akıntım,NOUN
2803,1,var.,VERB
2803,1,.,.
2803,4,Çok,ADJ
2803,4,uzun,ADJ
2803,4,yıllardan,NOUN
2803,4,beri,ADV
2803,4,sinüzitim,NOUN
2803,4,var,VERB
2803,4,diye,ADP
2803,4,geliyor.,VERB
2803,4,.,.
2803,6,Ayrıntılı,NOUN
2803,6,olarak,ADP
2803,6,değerlendirdiğimizde,VERB
2803,6,aslında,NOUN
2803,6,hastaların,NOUN
2803,6,büyük,ADJ
2803,6,çoğunluğunun,NOUN
2803,6,şikayetlerinin,NOUN
2803,6,alerjiye,NOUN
2803,6,bağlı,ADJ
2803,6,olduğunu,VERB
2803,6,görüyoruz,VERB
2803,6,dedi,VERB
2803,6,.,.
2803,7,Dursun,NOUN
2803,7,Anadolu,NOUN
2803,7,Ajansı,NOUN
2803,7,muhabirine,NOUN
2803,7,yaptığı,ADJ
2803,7,açıklamada,NOUN
2803,7,bölgenin,NOUN
2803,7,özellikleri,NOUN
2803,7,nedeniyle,ADV
2803,7,bu,DET
2803,7,mevsimlerde,NOUN
2803,7,alerjik,ADJ
2803,7,hastaların,NOUN
2803,7,yakınmalarının,NOUN
2803,7,arttığını,ADJ
2803,7,belirtti.,VERB
2803,8,Baş,NOUN
2803,8,ağrısı,NOUN
2803,8,şikayeti,NOUN
2803,8,ile,ADP
2803,8,gelen,ADJ
2803,8,hastaların,NOUN
2803,8,bu,DET
2803,8,mevsimde,NOUN
2803,8,çok,ADJ
2803,8,fazla,ADJ
2803,8,olduğunu,ADJ
2803,8,ifade,NOUN
2803,8,eden,ADJ
2803,8,Dursun,NOUN
2803,8,Hastalar,NOUN
2803,8,sinüzit,NOUN
2803,8,oldukları,ADJ
2803,8,düşüncesi,NOUN
2803,8,ile,CONJ
2803,8,geliyor.,VERB
2803,9,Baş,NOUN
2803,9,ağrısının,NOUN
2803,9,nedenlerini,NOUN
2803,9,alt,ADJ
2803,9,alta,PRT
2803,9,yazdığınız,ADJ
2803,9,zaman,NOUN
2803,9,sinüzite,NOUN
2803,9,bağlı,ADJ
2803,9,baş,NOUN
